,open,close,high,low,volume,money,avg,high_limit,low_limit,pre_close,paused,factor
2005-01-04,1.41,1.4,1.41,1.39,8204283.0,11465603.0,1.4,1.56,1.27,1.41,0.0,0.21462350088730534
2005-01-05,1.4,1.39,1.41,1.36,15013006.0,20718559.0,1.38,1.54,1.26,1.4,0.0,0.21462350088730534
2005-01-06,1.4,1.4,1.41,1.38,12423677.0,17333840.0,1.4,1.53,1.25,1.39,0.0,0.21462350088730534
2005-01-07,1.41,1.4,1.42,1.39,8788185.0,12302853.0,1.4,1.54,1.26,1.4,0.0,0.21462350088730534
2005-01-10,1.4,1.41,1.41,1.37,12263592.0,17111498.0,1.4,1.54,1.26,1.4,0.0,0.21462350088730534
2005-01-11,1.41,1.41,1.41,1.41,0.0,0.0,1.41,1.41,1.41,1.41,1.0,0.21462350088730534
2005-01-12,1.42,1.4,1.42,1.39,7635087.0,10672635.0,1.4,1.56,1.27,1.41,0.0,0.21462350088730534
2005-01-13,1.4,1.41,1.42,1.4,7458522.0,10504590.0,1.41,1.54,1.26,1.4,0.0,0.21462350088730534
2005-01-14,1.41,1.4,1.42,1.39,7477140.0,10476658.0,1.4,1.55,1.27,1.41,0.0,0.21462350088730534
2005-01-17,1.39,1.34,1.39,1.33,14776606.0,20039971.0,1.36,1.53,1.26,1.4,0.0,0.21462350088730534
2005-01-18,1.34,1.33,1.35,1.32,12075966.0,16109620.0,1.33,1.48,1.21,1.34,0.0,0.21462350088730534
2005-01-19,1.33,1.32,1.34,1.32,7852793.0,10416563.0,1.33,1.47,1.2,1.33,0.0,0.21462350088730534
2005-01-20,1.32,1.29,1.32,1.28,18399374.0,23815009.0,1.29,1.46,1.19,1.32,0.0,0.21462350088730534
2005-01-21,1.29,1.38,1.4,1.26,46769641.0,62408193.0,1.33,1.42,1.16,1.29,0.0,0.21462350088730534
2005-01-24,1.42,1.39,1.43,1.37,30091625.0,41761044.0,1.39,1.51,1.24,1.38,0.0,0.21462350088730534
2005-01-25,1.38,1.35,1.39,1.35,16308480.0,22142394.0,1.36,1.53,1.25,1.39,0.0,0.21462350088730534
2005-01-26,1.35,1.35,1.39,1.34,11823291.0,16124242.0,1.36,1.49,1.22,1.35,0.0,0.21462350088730534
2005-01-27,1.35,1.32,1.35,1.31,11764858.0,15671762.0,1.33,1.49,1.22,1.35,0.0,0.21462350088730534
2005-01-28,1.32,1.32,1.33,1.3,10862175.0,14212959.0,1.31,1.45,1.19,1.32,0.0,0.21462350088730534
2005-01-31,1.32,1.3,1.32,1.29,8656163.0,11288374.0,1.3,1.46,1.19,1.32,0.0,0.21462350088730534
2005-02-01,1.3,1.31,1.33,1.3,9909376.0,13006364.0,1.31,1.43,1.17,1.3,0.0,0.21462350088730534
2005-02-02,1.31,1.37,1.38,1.31,26542559.0,35957947.0,1.35,1.44,1.18,1.31,0.0,0.21462350088730534
2005-02-03,1.37,1.35,1.38,1.35,19293227.0,26337392.0,1.37,1.51,1.24,1.37,0.0,0.21462350088730534
2005-02-04,1.35,1.42,1.45,1.34,41551703.0,58460211.0,1.41,1.49,1.22,1.35,0.0,0.21462350088730534
