Symbol,TransactionType,CompanyName,Exchange,Quantity,FXRate,Currency,SecurityType,Price,Amount,CreateDate
META,Market - Buy,Meta Platforms Inc - Ordinary Shares - Class A,US,2,1.00,USD,Equities,$324.6400,-$649.2800,12/01/2023 - 14:22
SHY,Dividends,BlackRock Institutional Trust Company N.A. - BTC iShares 1-3 Year Treasury Bond ETF,US,22,1.00,USD,Equities,$0.2470,$5.4337,12/01/2023 - 00:00
UNH,Dividends,Unitedhealth Group Inc,US,10,1.00,USD,Equities,$1.8800,$18.8000,12/01/2023 - 00:00
HYG,Dividends,BlackRock Institutional Trust Company N.A. - iShares iBoxx USD High Yield Corporate Bond ETF,US,270,1.00,USD,Equities,$0.3439,$92.8427,12/01/2023 - 00:00
TLT,Dividends,BlackRock Institutional Trust Company N.A. - BTC iShares 20+ Year Treasury Bond ETF,US,28,1.00,USD,Equities,$0.2889,$8.0898,12/01/2023 - 00:00
MC,Market - Buy,LVMH,FR,6,0.93,EUR,Equities,€690.5000,"-€4,556.9300",11/29/2023 - 16:00
META,Market - Buy,Meta Platforms Inc - Ordinary Shares - Class A,US,1,1.00,USD,Equities,$332.6600,-$332.6600,11/29/2023 - 15:40
META,Market - Buy,Meta Platforms Inc - Ordinary Shares - Class A,US,2,1.00,USD,Equities,$334.4500,-$668.9000,11/27/2023 - 14:54
GOOG,Market - Buy,Alphabet Inc - Ordinary Shares - Class C,US,11,1.00,USD,Equities,$139.9900,"-$1,539.8900",11/22/2023 - 14:55
BNZL,Market - Buy,BUNZL,LN,70,0.80,GBP,Equities,£29.4400,"-£2,584.5300",11/22/2023 - 11:09
MCO,Dividends,Moody`s Corp.,US,14,1.00,USD,Equities,$0.7700,$10.7800,11/22/2023 - 00:00
HYG,Market - Buy,BlackRock Institutional Trust Company N.A. - iShares iBoxx USD High Yield Corporate Bond ETF,US,200,1.00,USD,Equities,$74.9100,"-$14,982.0000",11/21/2023 - 15:43
TLT,Market - Sell,BlackRock Institutional Trust Company N.A. - BTC iShares 20+ Year Treasury Bond ETF,US,-27,1.00,USD,Equities,$90.4600,"$2,442.4200",11/21/2023 - 15:41
SHY,Market - Sell,BlackRock Institutional Trust Company N.A. - BTC iShares 1-3 Year Treasury Bond ETF,US,-18,1.00,USD,Equities,$81.3400,"$1,464.1200",11/21/2023 - 15:39
MCO,Market - Buy,Moody`s Corp.,US,14,1.00,USD,Equities,$364.1800,"-$5,098.5200",11/21/2023 - 15:16
NVO,Market - Buy,Novo Nordisk - ADR,US,55,1.00,USD,Equities,$103.1600,"-$5,673.8000",11/21/2023 - 15:13
BNZL,Market - Buy,BUNZL,LN,30,0.80,GBP,Equities,£29.1100,"-£1,092.5000",11/21/2023 - 11:09
VNQ,Market - Sell,"Vanguard Group, Inc. - Vanguard Real Estate Index Fund ETF",US,-10,1.00,USD,Equities,$79.5100,$795.1000,11/20/2023 - 14:14
DLR,Market - Sell,Digital Realty Trust Inc,US,-45,1.00,USD,Equities,$133.7500,"$6,018.7500",11/20/2023 - 09:30
MSFT,Dividends,Microsoft Corporation,US,10,1.00,USD,Equities,$0.7500,$7.5000,11/15/2023 - 00:00
SHY,Market - Buy,BlackRock Institutional Trust Company N.A. - BTC iShares 1-3 Year Treasury Bond ETF,US,40,1.00,USD,Equities,$80.9900,"-$3,239.6000",11/10/2023 - 13:59
TLT,Market - Buy,BlackRock Institutional Trust Company N.A. - BTC iShares 20+ Year Treasury Bond ETF,US,55,1.00,USD,Equities,$87.9100,"-$4,835.0500",11/10/2023 - 13:48
HYG,Market - Buy,BlackRock Institutional Trust Company N.A. - iShares iBoxx USD High Yield Corporate Bond ETF,US,70,1.00,USD,Equities,$74.0200,"-$5,181.4000",11/10/2023 - 13:44
AAPL,Dividends,Apple Inc,US,28,1.00,USD,Equities,$0.2400,$6.7200,11/10/2023 - 00:00
V,Dividends,Visa Inc - Ordinary Shares - Class A,US,22,1.00,USD,Equities,$0.5200,$11.4400,11/08/2023 - 00:00
META,Market - Buy,Meta Platforms Inc - Ordinary Shares - Class A,US,13,1.00,USD,Equities,$315.5600,"-$4,102.2800",11/06/2023 - 09:34
